metadata: N/A
[1489235818.08, 75.91]
[1489235818.18, 76.35]
[1489235818.29, 71.04]
[1489235818.39, 70.61]
[1489235818.5, 70.97]
[1489235818.6, 71.38]
[1489235818.71, 71.41]
[1489235818.81, 70.18]
[1489235818.92, 70.59]
[1489235819.02, 71.42]
[1489235819.13, 71.0]
[1489235819.23, 71.43]
[1489235819.34, 70.57]
[1489235819.44, 70.16]
[1489235819.55, 70.2]
[1489235819.65, 71.87]
[1489235819.76, 74.22]
[1489235819.86, 71.46]
[1489235819.97, 70.21]
[1489235820.07, 71.04]
[1489235820.18, 70.26]
[1489235820.28, 71.45]
[1489235820.39, 71.0]
[1489235820.49, 70.61]
[1489235820.6, 74.95]
[1489235820.7, 71.5]
[1489235820.81, 71.4]
[1489235820.91, 70.61]
[1489235821.02, 69.75]
[1489235821.12, 71.02]
[1489235821.23, 71.0]
[1489235821.33, 72.54]
[1489235821.44, 66.9]
[1489235821.54, 70.98]
[1489235821.65, 70.55]
[1489235821.75, 71.05]
[1489235821.86, 71.07]
[1489235821.96, 66.94]
[1489235822.07, 68.31]
[1489235822.17, 67.4]
[1489235822.28, 67.32]
[1489235822.38, 67.43]
[1489235822.49, 67.32]
[1489235822.59, 67.73]
[1489235822.7, 67.81]
[1489235822.8, 69.8]
[1489235822.91, 70.57]
[1489235823.01, 70.11]
[1489235823.12, 70.56]
[1489235823.22, 70.19]
[1489235823.33, 70.54]
[1489235823.43, 70.13]
[1489235823.54, 70.18]
[1489235823.64, 70.23]
[1489235823.75, 71.8]
[1489235823.85, 70.19]
[1489235823.96, 70.12]
[1489235824.06, 71.81]
[1489235824.17, 72.01]
[1489235824.27, 71.04]
[1489235824.38, 71.04]
[1489235824.48, 70.16]
[1489235824.59, 70.03]
[1489235824.69, 70.14]
[1489235824.8, 66.49]
[1489235824.9, 67.74]
[1489235825.01, 65.92]
[1489235825.11, 67.26]
[1489235825.22, 69.9]
[1489235825.32, 69.75]
[1489235825.42, 132.96]
[1489235825.53, 67.35]
[1489235825.64, 67.76]
[1489235825.74, 67.78]
[1489235825.85, 69.76]
[1489235825.95, 67.77]
[1489235826.06, 71.47]
[1489235826.16, 71.84]
[1489235826.27, 70.23]
[1489235826.37, 71.07]
[1489235826.48, 69.8]
[1489235826.58, 70.18]
[1489235826.69, 70.19]
[1489235826.79, 69.41]
[1489235826.9, 66.93]
[1489235827.0, 67.76]
[1489235827.11, 67.36]
[1489235827.21, 71.02]
[1489235827.32, 71.43]
[1489235827.42, 71.41]
[1489235827.53, 71.41]
[1489235827.63, 70.61]
[1489235827.74, 67.45]
[1489235827.84, 66.95]
[1489235827.94, 67.85]
[1489235828.05, 68.62]
[1489235828.15, 68.16]
[1489235828.26, 69.87]
[1489235828.36, 69.46]
[1489235828.47, 70.26]
[1489235828.57, 69.85]
[1489235828.68, 71.12]
[1489235828.78, 71.89]
[1489235828.89, 70.66]
[1489235828.99, 71.09]
[1489235829.1, 72.34]
[1489235829.2, 71.15]
[1489235829.31, 72.39]
[1489235829.41, 71.58]
[1489235829.52, 70.73]
[1489235829.62, 71.14]
[1489235829.73, 71.55]
[1489235829.83, 71.14]
[1489235829.94, 71.07]
[1489235830.04, 71.5]
[1489235830.15, 71.89]
[1489235830.25, 71.88]
[1489235830.36, 70.68]
[1489235830.46, 70.59]
[1489235830.57, 71.43]
[1489235830.67, 71.48]
[1489235830.78, 71.0]
